Time;Label;7005;7014;7015;7017;7019;7023;7024;7038
0;Control;1.25987526;0.866047232;1;0.807151362;1.259819113;1.048916707;1.33183953;1.336901775
0;Control;0.760914761;1.002516454;NA;0.818034678;1.362342673;0.785459798;0.785788549;0.497174733
0;Control;0.979209979;1.131436314;NA;1.37481396;0.377838214;1.165623495;0.882371921;1.165923492
0;Probiotics;1.869009301;2.507368512;1.213725591;0.158129577;1.055196594;1.310257762;0.675181844;0.880095656
0;Probiotics;1.774773538;2.281317282;1.116112363;0.247570535;1.085194312;1.57444493;0.793373843;0.737635231
0;Probiotics;1.461215255;1.575718728;2.610475985;0.329677611;1.006975507;1.442208336;1.107949486;0.964539336
0;Probiotics;1.511698699;2.38327642;0.972234532;0.406185952;0.432817234;1.514666744;1.352474259;0.596618661
0;Probiotics;1.643516582;2.212262467;1.243043453;0.483642839;0.44126936;1.727560987;0.873274046;1.354511625
0;Probiotics;1.480847705;1.803688148;2.362884099;0.245095061;0.562188499;1.601807513;0.855384441;1.208463437
0;Probiotics;1.865643738;2.792588505;NA;0.238871673;0.322597607;1.011271489;0.800007067;0.701145061
0;Probiotics;1.828061618;2.597966068;NA;0.253354352;0.355770979;1.307111541;0.572467369;0.786595064
0;Probiotics;1.548719892;2.056446475;NA;0.559086958;0.454069689;1.114715401;0.827645502;0.893046604
3;Control;1.170191995;1.269580069;1.048692705;0.964612227;1.074415102;1.032329848;0.736038048;0.74809016
3;Control;1.146762122;0.51327497;1.079680439;1.014926301;0.693911251;1.111852878;1.153350654;1.099300559
3;Control;0.683045884;1.217144961;0.871626856;1.020461471;1.231673646;0.855817273;1.110611298;1.152609281
3;Probiotics;0.946910943;1.161069274;1.279105188;0.434966185;0.634569463;0.82465184;1.051742069;0.829263326
3;Probiotics;1.037782786;1.156368399;1.163913288;1.192006371;1.101067412;0.612928705;0.805013359;1.228668022
3;Probiotics;0.93927244;1.236189719;0.754744494;1.37677419;1.154213523;0.653252962;0.672289084;1.159648088
3;Probiotics;0.777020106;0.663735441;0.967409459;0.524088879;0.790793314;1.078528372;1.052012935;0.569165167
3;Probiotics;0.998273289;0.598928855;0.855839211;1.209614355;1.117568423;1.217293702;0.71207627;0.857372577
3;Probiotics;1.290116773;0.737218766;0.849452642;1.32766261;1.199889789;1.284223654;0.780906297;0.8379144
3;Probiotics;0.838654921;1.131039805;1.199935096;0.385261656;0.771200278;0.958220744;1.444768443;1.048882008
3;Probiotics;1.030144283;1.120749333;1.11087361;1.201390421;1.114598853;1.086219081;1.212786875;1.263892175
3;Probiotics;1.141824461;1.194700407;0.818727013;1.348235335;1.116098945;1.28468094;1.268404667;1.205194237
